contig	BIN_10	MEint3864	MEint885
group02396	0	1	0
group02468	0	1	0
group02500	0	0	1
group02578	0	1	0
group02584	0	0	1
group02611	0	0	1
group02621	0	1	0
group02622	0	0	1
group02630	1	0	1
group02631	1	0	0
group02632	1	1	0
group02634	1	0	0
group02635	1	0	0
group02636	1	0	0
group02638	1	0	0
group02639	1	0	0
group02641	1	0	0
group02642	1	0	1
group02643	1	1	0
group02645	1	0	0
group02646	1	0	0
group02647	1	0	0
group02648	1	0	0
group02650	1	0	1
group02651	1	0	0
group02652	1	0	0
group02653	1	0	0
group02654	1	0	0
group02655	1	0	1
group02696	0	0	1
group02699	0	0	1
group02705	0	0	1
group02706	0	0	1
group02707	0	0	1
group02708	0	0	1
group02791	0	1	0
group02849	0	1	0
group02863	0	1	0
group02864	0	1	0
group02865	0	1	0
group02866	0	1	0
group02867	0	1	0
group02868	0	1	0
group02869	0	1	0
group02870	0	1	0
group02871	0	1	0
group04005	0	0	1
group04006	0	0	1
group04007	0	0	1
group04008	0	0	1
group04009	0	0	1
group04010	0	0	1
group04011	0	0	1
group04012	0	0	1
group04013	0	0	1
group04014	0	0	1
group04015	0	0	1
group04016	0	0	1
group04017	0	0	1
group04018	0	0	1
group04019	0	0	1
group04020	0	0	1
group04021	0	0	1
group04022	0	0	1
group04023	0	0	1
group04024	0	0	1
group04025	0	0	1
group04026	0	0	1
group04027	0	0	1
group04028	0	0	1
group04029	0	0	1
group04030	0	0	1
group04031	0	0	1
group04032	0	0	1
group04048	0	1	0
group04049	0	1	0
group04050	0	1	0
group04051	0	1	0
group04052	0	1	0
group04053	0	1	0
group04054	0	1	0
group04055	0	1	0
group04056	0	1	0
group04057	0	1	0
group04058	0	1	0
group04059	0	1	0
group04060	0	1	0
group04061	0	1	0
group04062	0	1	0
group04063	0	1	0
group04064	0	1	0
group04065	0	1	0
group04066	0	1	0
group04067	0	1	0
group04068	0	1	0
group04069	1	0	0
group04070	1	0	0
group04071	1	0	0
group04072	1	0	0
group04073	1	0	0
group04074	1	0	0
group04075	1	0	0
group04076	1	0	0
group04077	1	0	0
group04078	1	0	0
group04079	1	0	0
group04080	1	0	0
group04081	1	0	0
group04082	1	0	0
group04083	1	0	0
group04084	1	0	0
group04085	1	0	0
group04086	1	0	0
group04087	1	0	0
group04088	1	0	0
group04089	1	0	0
group04090	1	0	0
group04091	1	0	0
group04092	1	0	0
group04093	1	0	0
group04094	1	0	0
group04095	1	0	0
group04096	1	0	0
group04097	1	0	0
group04098	1	0	0
group04099	1	0	0
group04100	1	0	0
group04101	1	0	0
group04102	1	0	0
group04103	1	0	0
group04104	1	0	0
group04105	1	0	0
group04106	1	0	0
group04107	1	0	0
group04108	1	0	0
group04109	1	0	0
group04110	1	0	0
group04111	1	0	0
group04112	1	0	0
group04113	1	0	0
group04114	1	0	0
group04115	1	0	0
group04116	1	0	0
group04117	1	0	0
group04118	1	0	0
group04119	1	0	0
group04120	1	0	0
group04121	1	0	0
group04122	1	0	0
group04123	1	0	0
group04124	1	0	0
group04125	1	0	0
group04126	1	0	0
group04127	1	0	0
group04128	1	0	0
group04129	1	0	0
group04130	1	0	0
group04131	1	0	0
group04132	1	0	0
group04133	1	0	0
group04134	1	0	0
group04135	1	0	0
group04136	1	0	0
group04137	1	0	0
group04138	1	0	0
group04139	1	0	0
group04140	1	0	0
group04141	1	0	0
group04142	1	0	0
group04143	1	0	0
group04144	1	0	0
group04145	1	0	0
group04146	1	0	0
group04147	1	0	0
group04148	1	0	0
group04149	1	0	0
group04150	1	0	0
group04151	1	0	0
group04152	1	0	0
group04153	1	0	0
group04154	1	0	0
group04155	1	0	0
group04156	1	0	0
group04157	1	0	0
group04158	1	0	0
