	log2_avg_rpkm
group00730	0.0
group00734	0.0
group00735	8.47751208422
group00736	7.81751137222
group00737	9.71748787587
group00738	15.0927578525
group00741	10.0132824572
group00744	11.1203527545
group00745	7.41247388133
group00746	7.09222909906
group00747	7.76645669139
group00748	7.70413887993
group00749	0.0
group00750	9.5106413004
group00753	0.0
group00755	7.84576025477
group00756	0.0
group00757	0.0
group00758	5.15401999404
group00760	0.0
group00761	10.2091750648
group00763	0.0
group00764	14.3372532772
group00765	11.2170944634
group00766	7.96037567353
group00768	6.74712202127
group00769	7.35104943225
group00770	9.112632828
group00771	14.8966075435
group00772	8.54794813757
group00773	7.70875575744
group00774	17.2166426645
group00779	0.0
group00780	7.72054687058
group00781	11.4513377139
group00783	9.74514178727
group00784	0.0
group00785	0.0
group00786	8.21418035855
group00788	9.76818360654
group00789	13.2418836514
group00792	11.6737338727
group00793	12.5852057456
group00794	0.0
group00795	7.28031579085
group00796	0.0
group00797	5.72939714734
group00798	7.99376631171
group00799	6.81458733836
group00800	12.2206917641
group00801	0.0
group00802	0.0
group00803	7.60909561031
group00804	6.62614346874
group00805	0.0
group00806	0.0
group00809	10.6001856924
group00810	0.0
group00811	10.3103753726
group00813	0.0
group00814	7.69588412727
group00816	0.0
group00817	11.5660001987
group00819	0.0
group00820	14.3115226898
group00821	0.0
group00822	0.0
group00823	9.91222489598
group00824	10.9506598791
group00825	0.0
group00826	0.0
group00827	13.4219562003
group00828	10.3609345128
group00830	10.9152488622
group00831	10.0622829547
group00832	10.6075304828
group00833	0.0
group00834	10.3795722048
group00835	8.98136005121
group00837	9.06547636683
group00838	12.4824084048
group00839	9.62468184182
group00840	11.0085125302
group00842	0.0
group00844	13.4776319745
group00846	0.0
group00849	0.0
group00850	0.0
group00851	7.60502138543
group00852	9.6114955613
group00854	7.7402494694
group00855	8.68628261203
group00856	8.43545054419
group00857	6.92137251077
group00858	0.0
group00860	0.0
group00862	6.40315339584
group00863	8.95131008756
group00864	7.95480150282
group00865	0.0
group00866	0.0
group00867	7.49570445888
group00869	7.68644762473
group00870	5.74250715465
group00871	4.84958576544
group00875	6.4148576813
group00876	13.7386775165
group00877	7.52896281133
group00878	10.2747940877
group00879	10.3287441583
group00880	8.70999609574
group00882	7.04947328332
group00883	8.60339978457
group00884	0.0
group00886	0.0
group00887	0.0
group00888	13.8508357619
group00889	10.3723728876
group00890	8.43122222088
